Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bogor;2022;Perdesaan;Keruh;Ya;3531,498507
Bogor;2023;Perdesaan;Keruh;Ya;479,5261002
Bogor;2019;Perkotaan;Keruh;Ya;34697,26605
Bogor;2020;Perkotaan;Keruh;Ya;31291,08234
Bogor;2021;Perkotaan;Keruh;Ya;22969,12589
Bogor;2022;Perkotaan;Keruh;Ya;55061,63753
Bogor;2023;Perkotaan;Keruh;Ya;44101,53394
Bogor;2019;Perdesaan;Keruh;Tidak;142732,0412
Bogor;2020;Perdesaan;Keruh;Tidak;150208,9603
Bogor;2021;Perdesaan;Keruh;Tidak;114158,7605
Bogor;2022;Perdesaan;Keruh;Tidak;112561,3415
Bogor;2023;Perdesaan;Keruh;Tidak;84596,00165
Bogor;2019;Perkotaan;Keruh;Tidak;1346579,699
Bogor;2020;Perkotaan;Keruh;Tidak;1361069,798
Bogor;2021;Perkotaan;Keruh;Tidak;1509659,798
Bogor;2022;Perkotaan;Keruh;Tidak;1495211,162
Bogor;2023;Perkotaan;Keruh;Tidak;1372317,878
Ciamis;2020;Perdesaan;Berasa;Ya;544,9602661
Ciamis;2021;Perdesaan;Berasa;Ya;301,263092
Ciamis;2022;Perdesaan;Berasa;Ya;664,0426198
Ciamis;2020;Perkotaan;Berasa;Ya;1209,801392
Ciamis;2021;Perkotaan;Berasa;Ya;1582,920746
Ciamis;2019;Perdesaan;Berasa;Tidak;227223,431
Ciamis;2020;Perdesaan;Berasa;Tidak;230673,2859
Ciamis;2021;Perdesaan;Berasa;Tidak;229196,2571
Ciamis;2022;Perdesaan;Berasa;Tidak;213263,8207
Ciamis;2023;Perdesaan;Berasa;Tidak;207867,2729
Ciamis;2019;Perkotaan;Berasa;Tidak;158971,6673
Ciamis;2020;Perkotaan;Berasa;Tidak;151544,2104
Ciamis;2021;Perkotaan;Berasa;Tidak;164619,498
Ciamis;2022;Perkotaan;Berasa;Tidak;156515,4918
Ciamis;2023;Perkotaan;Berasa;Tidak;164949,6948
Ciamis;2019;Perdesaan;Berbau;Ya;2819,023071
Ciamis;2020;Perdesaan;Berbau;Ya;3737,543274
Ciamis;2021;Perdesaan;Berbau;Ya;1155,528442
Ciamis;2022;Perdesaan;Berbau;Ya;922,3569315
Ciamis;2023;Perdesaan;Berbau;Ya;193,6150988
Ciamis;2020;Perkotaan;Berbau;Ya;1865,955643
Ciamis;2021;Perkotaan;Berbau;Ya;1958,198425
Ciamis;2019;Perdesaan;Berbau;Tidak;224404,4079
Ciamis;2020;Perdesaan;Berbau;Tidak;227480,7029
Ciamis;2021;Perdesaan;Berbau;Tidak;228341,9917
Ciamis;2022;Perdesaan;Berbau;Tidak;213005,5064
Ciamis;2023;Perdesaan;Berbau;Tidak;207673,6578
Ciamis;2019;Perkotaan;Berbau;Tidak;158971,6673
Ciamis;2020;Perkotaan;Berbau;Tidak;150888,0562
Ciamis;2021;Perkotaan;Berbau;Tidak;164244,2203
Ciamis;2022;Perkotaan;Berbau;Tidak;156515,4918
Ciamis;2023;Perkotaan;Berbau;Tidak;164949,6948
Ciamis;2020;Perdesaan;Berbusa;Ya;282,4654846
Ciamis;2022;Perdesaan;Berbusa;Ya;408,783317
Ciamis;2020;Perkotaan;Berbusa;Ya;1209,801392
Ciamis;2019;Perdesaan;Berbusa;Tidak;227223,431
Ciamis;2020;Perdesaan;Berbusa;Tidak;230935,7807
Ciamis;2021;Perdesaan;Berbusa;Tidak;229497,5201
Ciamis;2022;Perdesaan;Berbusa;Tidak;213519,08
Ciamis;2023;Perdesaan;Berbusa;Tidak;207867,2729
Ciamis;2019;Perkotaan;Berbusa;Tidak;158971,6673
Ciamis;2020;Perkotaan;Berbusa;Tidak;151544,2104
Ciamis;2021;Perkotaan;Berbusa;Tidak;166202,4187
Ciamis;2022;Perkotaan;Berbusa;Tidak;156515,4918
Ciamis;2023;Perkotaan;Berbusa;Tidak;164949,6948
Ciamis;2019;Perdesaan;Berwarna;Ya;3121,242157
Ciamis;2020;Perdesaan;Berwarna;Ya;5066,118317
Ciamis;2021;Perdesaan;Berwarna;Ya;782,4034576
Ciamis;2022;Perdesaan;Berwarna;Ya;966,9887323
Ciamis;2023;Perdesaan;Berwarna;Ya;1730,23721
Ciamis;2020;Perkotaan;Berwarna;Ya;4389,150223
Ciamis;2021;Perkotaan;Berwarna;Ya;2271,158264
Ciamis;2022;Perkotaan;Berwarna;Ya;1982,179362
Ciamis;2019;Perdesaan;Berwarna;Tidak;224102,1888
Ciamis;2020;Perdesaan;Berwarna;Tidak;226152,1278
Ciamis;2021;Perdesaan;Berwarna;Tidak;228715,1167
Ciamis;2022;Perdesaan;Berwarna;Tidak;212960,8746
Ciamis;2023;Perdesaan;Berwarna;Tidak;206137,0357
Ciamis;2019;Perkotaan;Berwarna;Tidak;158971,6673
Ciamis;2020;Perkotaan;Berwarna;Tidak;148364,8616
Ciamis;2021;Perkotaan;Berwarna;Tidak;163931,2605
Ciamis;2022;Perkotaan;Berwarna;Tidak;154533,3125
Ciamis;2023;Perkotaan;Berwarna;Tidak;164949,6948
Ciamis;2019;Perdesaan;Keruh;Ya;4050,439377
Ciamis;2020;Perdesaan;Keruh;Ya;6291,86557
Ciamis;2021;Perdesaan;Keruh;Ya;2752,986053
Ciamis;2022;Perdesaan;Keruh;Ya;3322,809442
Ciamis;2023;Perdesaan;Keruh;Ya;1501,347092
Ciamis;2019;Perkotaan;Keruh;Ya;168,6320343
Ciamis;2020;Perkotaan;Keruh;Ya;2742,949829
Ciamis;2019;Perdesaan;Keruh;Tidak;223172,9916
Ciamis;2020;Perdesaan;Keruh;Tidak;224926,3806
Ciamis;2021;Perdesaan;Keruh;Tidak;226744,5341
Ciamis;2022;Perdesaan;Keruh;Tidak;210605,0539
Ciamis;2023;Perdesaan;Keruh;Tidak;206365,9258
Ciamis;2019;Perkotaan;Keruh;Tidak;158803,0352
Ciamis;2020;Perkotaan;Keruh;Tidak;150011,062
Ciamis;2021;Perkotaan;Keruh;Tidak;166202,4187
